IncidentTechniqueKey,IncidentKey,AttackTechniqueKey,IsPrimary
1,1,15,True
2,2,7,True
3,3,4,True
4,4,17,True
5,4,22,False
6,5,25,True
7,6,17,True
8,7,8,True
9,8,9,False
10,8,26,True
11,9,17,True
12,10,12,True
13,11,8,True
14,12,6,False
15,12,19,True
16,13,12,True
17,14,14,True
18,15,24,True
19,16,1,False
20,16,10,True
21,17,3,True
22,18,9,True
23,19,23,True
24,20,16,False
25,20,21,True
26,21,12,True
27,22,26,True
28,23,22,True
29,24,17,False
30,24,18,True
31,25,14,True
32,26,1,True
33,27,16,True
34,28,13,True
35,28,16,False
36,29,19,True
37,30,17,True
38,31,2,True
39,32,17,True
40,32,24,False
41,33,1,True
42,34,2,True
43,35,13,True
44,36,3,True
45,36,14,False
46,37,3,True
47,38,22,True
48,39,19,True
49,40,11,False
50,40,22,True
51,41,19,True
52,42,24,True
53,43,17,True
54,44,19,False
55,44,26,True
56,45,19,True
57,46,19,True
58,47,16,True
59,48,6,False
60,48,9,True
61,49,5,True
62,50,25,True
63,51,22,True
64,52,19,True
65,52,20,False
66,53,8,True
67,54,22,True
68,55,19,True
69,56,21,True
70,56,26,False
71,57,4,True
72,58,12,True
73,59,2,True
74,60,2,True
75,60,11,False
76,61,13,True
77,62,3,True
78,63,5,True
79,64,10,False
80,64,23,True
81,65,14,True
82,66,12,True
83,67,10,True
84,68,7,True
85,68,24,False
86,69,10,True
87,70,1,True
88,71,7,True
89,72,16,False
90,72,21,True
91,73,19,True
92,74,5,True
93,75,7,True
94,76,22,False
95,76,23,True
96,77,8,True
97,78,3,True
98,79,19,True
99,80,5,True
100,80,8,False
101,81,19,True
102,82,5,True
103,83,7,True
104,84,2,True
105,84,9,False
106,85,22,True
107,86,19,True
108,87,7,True
109,88,12,True
110,88,23,False
111,89,12,True
112,90,7,True
113,91,3,True
114,92,11,False
115,92,22,True
116,93,9,True
117,94,23,True
118,95,6,True
119,96,16,False
120,96,23,True
121,97,19,True
122,98,16,True
123,99,6,True
124,100,3,False
125,100,6,True
126,101,15,True
127,102,2,True
128,103,9,True
129,104,13,True
130,104,14,False
131,105,18,True
132,106,5,True
133,107,6,True
134,108,12,True
135,108,17,False
136,109,23,True
137,110,24,True
138,111,19,True
139,112,5,True
140,112,14,False
141,113,10,True
142,114,9,True
143,115,26,True
144,116,4,True
145,116,17,False
146,117,10,True
147,118,12,True
148,119,19,True
149,120,6,False
150,120,15,True
151,121,2,True
152,122,3,True
153,123,17,True
154,124,8,False
155,124,13,True
156,125,15,True
157,126,22,True
158,127,3,True
159,128,22,False
160,128,23,True
161,129,23,True
162,130,20,True
163,131,26,True
164,132,3,False
165,132,26,True
166,133,22,True
167,134,22,True
168,135,16,True
169,136,3,False
170,136,22,True
171,137,9,True
172,138,19,True
173,139,24,True
