AlertKey,AlertId,EventId,DetectedAtUTC,AlertDateKey,AlertTimeKey,SourceProductKey,AssetKey,DetectionRuleKey,SeverityKey,AlertCount,DetectionMinutes,IsFalsePositive,BecameIncident,DataClassification
1,ALT-00000001,EVT-00007966,2026-06-16T16:47:50Z,20260616,1645,1,160,40,5,1,5.0,True,False,SYNTHETIC_DEMO_DATA
2,ALT-00000002,EVT-00015931,2025-10-18T14:13:05Z,20251018,1410,2,44,5,3,1,7.0,True,False,SYNTHETIC_DEMO_DATA
3,ALT-00000003,EVT-00023896,2025-09-17T15:36:31Z,20250917,1535,7,154,20,1,1,7.0,False,False,SYNTHETIC_DEMO_DATA
4,ALT-00000004,EVT-00031861,2025-10-07T14:28:09Z,20251007,1425,5,85,45,1,1,17.0,False,False,SYNTHETIC_DEMO_DATA
5,ALT-00000005,EVT-00039826,2025-10-07T10:56:22Z,20251007,1055,1,22,8,3,1,6.0,False,True,SYNTHETIC_DEMO_DATA
6,ALT-00000006,EVT-00047791,2025-04-22T17:19:18Z,20250422,1715,1,71,7,2,1,14.0,False,False,SYNTHETIC_DEMO_DATA
7,ALT-00000007,EVT-00055756,2025-03-26T09:09:26Z,20250326,905,2,178,37,1,1,9.0,False,False,SYNTHETIC_DEMO_DATA
8,ALT-00000008,EVT-00063721,2025-05-30T14:34:23Z,20250530,1430,1,123,12,2,1,6.0,True,True,SYNTHETIC_DEMO_DATA
9,ALT-00000009,EVT-00071686,2025-06-28T10:42:40Z,20250628,1040,6,62,24,1,1,15.0,True,True,SYNTHETIC_DEMO_DATA
10,ALT-00000010,EVT-00079651,2025-05-10T22:48:16Z,20250510,2245,5,127,38,1,1,16.0,False,False,SYNTHETIC_DEMO_DATA
11,ALT-00000011,EVT-00087616,2026-03-13T14:30:55Z,20260313,1430,2,142,11,3,1,4.0,True,False,SYNTHETIC_DEMO_DATA
12,ALT-00000012,EVT-00095581,2025-02-19T15:18:06Z,20250219,1515,1,123,45,4,1,1.0,False,False,SYNTHETIC_DEMO_DATA
13,ALT-00000013,EVT-00103546,2025-11-01T07:34:06Z,20251101,730,2,30,12,2,1,5.0,False,False,SYNTHETIC_DEMO_DATA
14,ALT-00000014,EVT-00111511,2025-07-04T18:34:00Z,20250704,1830,4,231,4,1,1,3.0,True,False,SYNTHETIC_DEMO_DATA
15,ALT-00000015,EVT-00119476,2025-08-18T14:32:27Z,20250818,1430,6,104,37,4,1,5.0,True,False,SYNTHETIC_DEMO_DATA
16,ALT-00000016,EVT-00007441,2025-12-26T05:05:18Z,20251226,505,6,78,29,2,1,11.0,True,False,SYNTHETIC_DEMO_DATA
17,ALT-00000017,EVT-00015406,2026-02-03T15:12:44Z,20260203,1510,3,148,7,1,1,25.0,False,False,SYNTHETIC_DEMO_DATA
18,ALT-00000018,EVT-00023371,2025-09-29T11:42:38Z,20250929,1140,1,40,15,3,1,4.0,True,False,SYNTHETIC_DEMO_DATA
19,ALT-00000019,EVT-00031336,2026-07-15T18:46:21Z,20260715,1845,7,31,1,2,1,11.0,False,False,SYNTHETIC_DEMO_DATA
20,ALT-00000020,EVT-00039301,2026-01-30T10:40:16Z,20260130,1040,1,41,17,1,1,16.0,True,False,SYNTHETIC_DEMO_DATA
21,ALT-00000021,EVT-00047266,2025-05-17T07:47:08Z,20250517,745,3,169,24,2,1,7.0,True,False,SYNTHETIC_DEMO_DATA
22,ALT-00000022,EVT-00055231,2025-10-10T15:14:49Z,20251010,1510,3,175,42,2,1,6.0,False,False,SYNTHETIC_DEMO_DATA
23,ALT-00000023,EVT-00063196,2026-04-11T12:55:48Z,20260411,1255,3,19,11,2,1,2.0,True,True,SYNTHETIC_DEMO_DATA
24,ALT-00000024,EVT-00071161,2026-05-04T14:27:13Z,20260504,1425,2,99,22,3,1,6.0,True,False,SYNTHETIC_DEMO_DATA
25,ALT-00000025,EVT-00079126,2025-02-04T14:41:03Z,20250204,1440,3,145,42,1,1,12.0,False,False,SYNTHETIC_DEMO_DATA
26,ALT-00000026,EVT-00087091,2025-05-23T09:23:49Z,20250523,920,2,175,31,1,1,7.0,True,True,SYNTHETIC_DEMO_DATA
27,ALT-00000027,EVT-00095056,2025-04-17T16:33:20Z,20250417,1630,4,123,5,5,1,10.0,False,False,SYNTHETIC_DEMO_DATA
28,ALT-00000028,EVT-00103021,2026-07-02T08:48:15Z,20260702,845,6,211,12,1,1,11.0,True,True,SYNTHETIC_DEMO_DATA
29,ALT-00000029,EVT-00110986,2025-02-09T11:46:33Z,20250209,1145,3,94,10,1,1,6.0,False,False,SYNTHETIC_DEMO_DATA
30,ALT-00000030,EVT-00118951,2025-06-27T15:58:46Z,20250627,1555,4,71,14,1,1,29.0,False,False,SYNTHETIC_DEMO_DATA
31,ALT-00000031,EVT-00006915,2025-02-08T14:12:20Z,20250208,1410,7,208,23,2,1,11.0,True,False,SYNTHETIC_DEMO_DATA
32,ALT-00000032,EVT-00014881,2025-08-28T16:43:15Z,20250828,1640,2,149,28,3,1,13.0,False,False,SYNTHETIC_DEMO_DATA
33,ALT-00000033,EVT-00022846,2025-06-13T08:00:12Z,20250613,800,2,15,35,2,1,5.0,False,False,SYNTHETIC_DEMO_DATA
34,ALT-00000034,EVT-00030811,2026-07-29T12:34:18Z,20260729,1230,3,105,41,2,1,13.0,False,False,SYNTHETIC_DEMO_DATA
35,ALT-00000035,EVT-00038776,2026-05-20T14:06:00Z,20260520,1405,5,125,8,3,1,2.0,True,False,SYNTHETIC_DEMO_DATA
36,ALT-00000036,EVT-00046741,2025-09-16T06:05:36Z,20250916,605,6,53,26,2,1,5.0,True,False,SYNTHETIC_DEMO_DATA
37,ALT-00000037,EVT-00054706,2026-05-15T10:42:14Z,20260515,1040,3,67,28,1,1,5.0,False,True,SYNTHETIC_DEMO_DATA
38,ALT-00000038,EVT-00062671,2026-06-21T16:21:12Z,20260621,1620,3,123,36,5,1,2.0,False,False,SYNTHETIC_DEMO_DATA
39,ALT-00000039,EVT-00070636,2025-05-08T11:16:59Z,20250508,1115,7,135,20,3,1,22.0,False,False,SYNTHETIC_DEMO_DATA
40,ALT-00000040,EVT-00078601,2025-11-22T08:50:23Z,20251122,850,7,32,40,3,1,19.0,True,False,SYNTHETIC_DEMO_DATA
41,ALT-00000041,EVT-00086566,2025-11-28T05:25:15Z,20251128,525,3,82,6,2,1,5.0,False,False,SYNTHETIC_DEMO_DATA
42,ALT-00000042,EVT-00094531,2026-04-05T17:09:48Z,20260405,1705,1,152,45,3,1,7.0,False,False,SYNTHETIC_DEMO_DATA
43,ALT-00000043,EVT-00102496,2026-02-11T09:47:19Z,20260211,945,1,53,11,1,1,9.0,True,False,SYNTHETIC_DEMO_DATA
44,ALT-00000044,EVT-00110461,2025-07-28T16:32:24Z,20250728,1630,3,211,9,1,1,15.0,False,False,SYNTHETIC_DEMO_DATA
45,ALT-00000045,EVT-00118426,2025-05-11T09:18:15Z,20250511,915,6,91,42,1,1,18.0,True,False,SYNTHETIC_DEMO_DATA
46,ALT-00000046,EVT-00006390,2026-01-14T02:06:11Z,20260114,205,7,57,28,3,1,10.0,False,True,SYNTHETIC_DEMO_DATA
47,ALT-00000047,EVT-00014355,2026-01-16T01:53:08Z,20260116,150,5,172,40,1,1,19.0,True,False,SYNTHETIC_DEMO_DATA
48,ALT-00000048,EVT-00022321,2026-07-22T17:40:15Z,20260722,1740,1,74,14,3,1,18.0,True,True,SYNTHETIC_DEMO_DATA
49,ALT-00000049,EVT-00030286,2025-08-26T06:50:12Z,20250826,650,2,122,13,3,1,14.0,True,False,SYNTHETIC_DEMO_DATA
50,ALT-00000050,EVT-00038251,2025-10-07T09:36:39Z,20251007,935,7,189,44,4,1,16.0,False,True,SYNTHETIC_DEMO_DATA
51,ALT-00000051,EVT-00046216,2026-02-21T06:34:51Z,20260221,630,3,91,17,5,1,5.0,False,False,SYNTHETIC_DEMO_DATA
52,ALT-00000052,EVT-00054181,2026-03-04T09:28:37Z,20260304,925,6,134,12,2,1,11.0,True,False,SYNTHETIC_DEMO_DATA
53,ALT-00000053,EVT-00062146,2025-08-07T19:35:27Z,20250807,1935,4,3,21,4,1,11.0,False,False,SYNTHETIC_DEMO_DATA
