LifecycleKey,IncidentKey,Stage,StageOrder,StageAtUTC,StageDateKey,AnalystKey,MinutesFromPreviousStage,SafeAction
1,1,Created,1,2026-05-15T11:26:14Z,20260515,13,,Transição sintética para Created.
2,1,Acknowledged,2,2026-05-15T13:03:14Z,20260515,13,97.0,Transição sintética para Acknowledged.
3,1,Triaged,3,2026-05-15T13:40:14Z,20260515,13,37.0,Transição sintética para Triaged.
4,1,Contained,4,2026-05-15T15:09:14Z,20260515,13,89.0,Transição sintética para Contained.
5,1,Resolved,5,2026-05-15T15:57:14Z,20260515,13,48.0,Transição sintética para Resolved.
6,1,Closed,6,2026-05-16T00:19:14Z,20260516,13,502.0,Transição sintética para Closed.
7,2,Created,1,2026-07-31T11:45:53Z,20260731,9,,Transição sintética para Created.
8,2,Acknowledged,2,2026-07-31T11:59:53Z,20260731,9,14.0,Transição sintética para Acknowledged.
9,2,Triaged,3,2026-07-31T12:32:53Z,20260731,9,33.0,Transição sintética para Triaged.
10,3,Created,1,2026-07-18T13:50:54Z,20260718,18,,Transição sintética para Created.
11,3,Acknowledged,2,2026-07-18T15:18:54Z,20260718,18,88.0,Transição sintética para Acknowledged.
12,3,Triaged,3,2026-07-18T15:32:54Z,20260718,18,14.0,Transição sintética para Triaged.
13,4,Created,1,2025-05-08T11:09:16Z,20250508,10,,Transição sintética para Created.
14,4,Acknowledged,2,2025-05-08T11:28:16Z,20250508,10,19.0,Transição sintética para Acknowledged.
15,4,Triaged,3,2025-05-08T11:36:16Z,20250508,10,8.0,Transição sintética para Triaged.
16,4,Contained,4,2025-05-08T15:37:16Z,20250508,10,241.0,Transição sintética para Contained.
17,4,Resolved,5,2025-05-08T21:08:16Z,20250508,10,331.0,Transição sintética para Resolved.
18,5,Created,1,2025-03-25T14:49:06Z,20250325,6,,Transição sintética para Created.
19,5,Acknowledged,2,2025-03-25T14:55:06Z,20250325,6,6.0,Transição sintética para Acknowledged.
20,5,Triaged,3,2025-03-25T15:06:06Z,20250325,6,11.0,Transição sintética para Triaged.
21,5,Contained,4,2025-03-25T16:12:06Z,20250325,6,66.0,Transição sintética para Contained.
22,5,Resolved,5,2025-03-25T17:47:06Z,20250325,6,95.0,Transição sintética para Resolved.
23,5,Closed,6,2025-03-26T02:53:06Z,20250326,6,546.0,Transição sintética para Closed.
24,6,Created,1,2026-04-13T10:28:28Z,20260413,15,,Transição sintética para Created.
25,6,Acknowledged,2,2026-04-13T11:18:28Z,20260413,15,50.0,Transição sintética para Acknowledged.
