IncidentKey,IncidentId,CreatedAtUTC,AcknowledgedAtUTC,TriagedAtUTC,ContainedAtUTC,ResolvedAtUTC,ClosedAtUTC,CreatedDateKey,CreatedTimeKey,SourceProductKey,AssetKey,DetectionRuleKey,SeverityKey,StatusKey,AnalystKey,ClassificationKey,SLAKey,AlertKey,IncidentCount,RiskScore,AcknowledgementMinutes,TriageMinutes,ContainmentMinutes,ResolutionMinutes,RecoveryMinutes,IsEscalated,IsReopened,IsFalsePositive,SLAOverallMet,DataClassification
1,INC-00000001,2026-05-15T11:26:14Z,2026-05-15T13:03:14Z,2026-05-15T13:40:14Z,2026-05-15T15:09:14Z,2026-05-15T15:57:14Z,2026-05-16T00:19:14Z,20260515,1125,3,67,28,1,5,13,2,1,37,1,28.5,97.0,134.0,223.0,271.0,502.0,False,False,True,True,SYNTHETIC_DEMO_DATA
2,INC-00000002,2026-07-31T11:45:53Z,2026-07-31T11:59:53Z,2026-07-31T12:32:53Z,,,,20260731,1145,3,14,12,4,2,9,0,4,15335,1,100,14.0,47.0,,,,True,False,False,False,SYNTHETIC_DEMO_DATA
3,INC-00000003,2026-07-18T13:50:54Z,2026-07-18T15:18:54Z,2026-07-18T15:32:54Z,,,,20260718,1350,5,209,45,2,2,18,0,2,16960,1,55.3,88.0,102.0,,,,False,False,False,False,SYNTHETIC_DEMO_DATA
4,INC-00000004,2025-05-08T11:09:16Z,2025-05-08T11:28:16Z,2025-05-08T11:36:16Z,2025-05-08T15:37:16Z,2025-05-08T21:08:16Z,,20250508,1105,6,143,32,1,4,10,1,1,12718,1,36.9,19.0,27.0,268.0,599.0,,False,False,False,True,SYNTHETIC_DEMO_DATA
5,INC-00000005,2025-03-25T14:49:06Z,2025-03-25T14:55:06Z,2025-03-25T15:06:06Z,2025-03-25T16:12:06Z,2025-03-25T17:47:06Z,2025-03-26T02:53:06Z,20250325,1445,3,169,22,4,5,6,1,4,11121,1,96.4,6.0,17.0,83.0,178.0,546.0,True,False,False,True,SYNTHETIC_DEMO_DATA
6,INC-00000006,2026-04-13T10:28:28Z,2026-04-13T11:18:28Z,2026-04-13T12:00:28Z,2026-04-13T13:00:28Z,2026-04-13T15:30:28Z,2026-04-14T01:47:28Z,20260413,1025,6,67,32,2,5,15,1,2,4558,1,42.7,50.0,92.0,152.0,302.0,617.0,False,False,False,True,SYNTHETIC_DEMO_DATA
7,INC-00000007,2025-06-21T15:59:04Z,2025-06-21T16:33:04Z,2025-06-21T16:58:04Z,2025-06-21T17:36:04Z,2025-06-22T00:30:04Z,2025-06-22T09:10:04Z,20250621,1555,4,155,27,1,5,7,2,1,2784,1,41.4,34.0,59.0,97.0,511.0,520.0,False,False,True,True,SYNTHETIC_DEMO_DATA
8,INC-00000008,2025-05-18T22:02:33Z,2025-05-18T22:48:33Z,2025-05-18T23:08:33Z,2025-05-19T00:06:33Z,2025-05-19T07:18:33Z,2025-05-19T08:13:33Z,20250518,2200,1,85,11,1,5,18,4,1,14549,1,27.6,46.0,66.0,124.0,556.0,55.0,False,False,False,True,SYNTHETIC_DEMO_DATA
9,INC-00000009,2025-09-03T15:51:20Z,2025-09-03T16:26:20Z,2025-09-03T16:39:20Z,2025-09-03T16:59:20Z,2025-09-03T19:43:20Z,,20250903,1550,5,191,6,2,4,12,3,2,9519,1,52.1,35.0,48.0,68.0,232.0,,False,False,True,True,SYNTHETIC_DEMO_DATA
10,INC-00000010,2026-05-30T23:51:57Z,2026-05-31T00:08:57Z,2026-05-31T03:23:57Z,2026-05-31T09:27:57Z,2026-05-31T14:35:57Z,2026-05-31T16:53:57Z,20260530,2350,1,3,35,3,5,6,1,3,1162,1,71.6,17.0,212.0,576.0,884.0,138.0,False,False,False,False,SYNTHETIC_DEMO_DATA
