SLAFactKey,IncidentKey,SLAKey,AcknowledgeTargetMinutes,AcknowledgeActualMinutes,AcknowledgeMet,ContainTargetMinutes,ContainActualMinutes,ContainMet,ResolveTargetMinutes,ResolveActualMinutes,ResolveMet,OverallMet
1,1,1,240,97.0,True,1440,223.0,True,4320,271.0,True,True
2,2,4,30,14.0,True,180,,False,720,,False,False
3,3,2,120,88.0,True,720,,False,2880,,False,False
4,4,1,240,19.0,True,1440,268.0,True,4320,599.0,True,True
5,5,4,30,6.0,True,180,83.0,True,720,178.0,True,True
6,6,2,120,50.0,True,720,152.0,True,2880,302.0,True,True
7,7,1,240,34.0,True,1440,97.0,True,4320,511.0,True,True
8,8,1,240,46.0,True,1440,124.0,True,4320,556.0,True,True
9,9,2,120,35.0,True,720,68.0,True,2880,232.0,True,True
10,10,3,60,17.0,True,360,576.0,False,1440,884.0,True,False
11,11,3,60,19.0,True,360,122.0,True,1440,655.0,True,True
12,12,1,240,41.0,True,1440,103.0,True,4320,509.0,True,True
13,13,2,120,34.0,True,720,190.0,True,2880,254.0,True,True
14,14,1,240,23.0,True,1440,88.0,True,4320,259.0,True,True
15,15,3,60,18.0,True,360,105.0,True,1440,447.0,True,True
16,16,4,30,18.0,True,180,131.0,True,720,328.0,True,True
17,17,2,120,43.0,True,720,292.0,True,2880,1143.0,True,True
18,18,2,120,31.0,True,720,325.0,True,2880,468.0,True,True
19,19,1,240,5.0,True,1440,306.0,True,4320,694.0,True,True
20,20,1,240,8.0,True,1440,158.0,True,4320,547.0,True,True
21,21,2,120,12.0,True,720,113.0,True,2880,270.0,True,True
22,22,2,120,53.0,True,720,84.0,True,2880,223.0,True,True
23,23,2,120,19.0,True,720,104.0,True,2880,287.0,True,True
24,24,1,240,50.0,True,1440,95.0,True,4320,316.0,True,True
25,25,5,15,9.0,True,60,106.0,False,240,360.0,False,False
26,26,2,120,23.0,True,720,56.0,True,2880,1581.0,True,True
27,27,3,60,18.0,True,360,63.0,True,1440,,False,False
