EventKey,EventId,EventTimestampUTC,ReceivedAtUTC,EventDateKey,EventTimeKey,SourceProductKey,AssetKey,DetectionRuleKey,SeverityKey,EventCount,IngestionDelaySeconds,IsDuplicate,IsRejected,DataClassification
1,EVT-00000001,2025-11-14T12:09:42Z,2025-11-14T12:10:34Z,20251114,1205,3,100,22,2,1,52,False,False,SYNTHETIC_DEMO_DATA
2,EVT-00000002,2025-06-07T09:28:20Z,2025-06-07T09:34:35Z,20250607,925,7,87,40,3,1,375,False,False,SYNTHETIC_DEMO_DATA
3,EVT-00000003,2025-12-02T17:01:03Z,2025-12-02T17:01:37Z,20251202,1700,7,36,4,1,1,34,False,False,SYNTHETIC_DEMO_DATA
4,EVT-00000004,2026-06-25T07:49:28Z,2026-06-25T07:55:03Z,20260625,745,7,67,21,1,1,335,False,False,SYNTHETIC_DEMO_DATA
5,EVT-00000005,2025-06-12T19:55:16Z,2025-06-12T19:56:30Z,20250612,1955,1,197,3,2,1,74,False,False,SYNTHETIC_DEMO_DATA
6,EVT-00000006,2025-07-23T13:31:50Z,2025-07-23T13:36:16Z,20250723,1330,3,159,28,1,1,266,False,False,SYNTHETIC_DEMO_DATA
7,EVT-00000007,2025-11-23T03:56:37Z,2025-11-23T03:56:58Z,20251123,355,5,138,20,1,1,21,False,False,SYNTHETIC_DEMO_DATA
8,EVT-00000008,2025-04-22T00:14:39Z,2025-04-22T00:18:54Z,20250422,10,1,85,12,2,1,255,False,False,SYNTHETIC_DEMO_DATA
9,EVT-00000009,2025-10-12T20:33:57Z,2025-10-12T20:34:43Z,20251012,2030,2,190,31,1,1,46,False,False,SYNTHETIC_DEMO_DATA
10,EVT-00000010,2025-12-29T08:59:49Z,2025-12-29T09:04:56Z,20251229,855,6,4,19,1,1,307,False,False,SYNTHETIC_DEMO_DATA
11,EVT-00000011,2025-10-13T08:02:43Z,2025-10-13T08:07:22Z,20251013,800,1,230,14,3,1,279,False,False,SYNTHETIC_DEMO_DATA
12,EVT-00000012,2026-03-13T14:50:06Z,2026-03-13T14:55:16Z,20260313,1450,1,106,28,5,1,310,False,False,SYNTHETIC_DEMO_DATA
13,EVT-00000013,2025-12-12T02:19:08Z,2025-12-12T02:25:41Z,20251212,215,6,125,22,3,1,393,False,False,SYNTHETIC_DEMO_DATA
14,EVT-00000014,2025-03-28T08:10:26Z,2025-03-28T08:16:31Z,20250328,810,7,163,33,3,1,365,False,False,SYNTHETIC_DEMO_DATA
15,EVT-00000015,2025-07-08T16:07:04Z,2025-07-08T16:11:14Z,20250708,1605,7,111,24,2,1,250,False,False,SYNTHETIC_DEMO_DATA
16,EVT-00000016,2026-06-10T20:46:05Z,2026-06-10T20:49:52Z,20260610,2045,3,110,38,1,1,227,False,False,SYNTHETIC_DEMO_DATA
17,EVT-00000017,2025-08-15T15:01:27Z,2025-08-15T15:07:43Z,20250815,1500,7,236,29,2,1,376,False,False,SYNTHETIC_DEMO_DATA
18,EVT-00000018,2025-09-24T11:51:11Z,2025-09-24T11:57:38Z,20250924,1150,6,72,4,1,1,387,False,False,SYNTHETIC_DEMO_DATA
19,EVT-00000019,2026-06-05T11:29:32Z,2026-06-05T11:35:51Z,20260605,1125,2,54,18,2,1,379,False,False,SYNTHETIC_DEMO_DATA
20,EVT-00000020,2025-10-23T16:20:45Z,2025-10-23T16:23:52Z,20251023,1620,6,23,35,3,1,187,False,False,SYNTHETIC_DEMO_DATA
21,EVT-00000021,2025-10-16T19:20:56Z,2025-10-16T19:21:08Z,20251016,1920,1,217,27,1,1,12,False,False,SYNTHETIC_DEMO_DATA
22,EVT-00000022,2026-03-26T13:22:57Z,2026-03-26T13:25:40Z,20260326,1320,6,59,45,2,1,163,False,False,SYNTHETIC_DEMO_DATA
