alert_id,event_id,detected_at,source_product,asset_id,rule_id,severity,false_positive,safe_summary,data_classification
ALT-00000001,EVT-00007966,2026-06-16T16:47:50Z,EDY Shield,AST-0160,RUL-040,Critical,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000002,EVT-00015931,2025-10-18T14:13:05Z,EDY Sentinel,AST-0044,RUL-005,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000003,EVT-00023896,2025-09-17T15:36:31Z,External Synthetic,AST-0154,RUL-020,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000004,EVT-00031861,2025-10-07T14:28:09Z,External Synthetic,AST-0085,RUL-045,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000005,EVT-00039826,2025-10-07T10:56:22Z,EDY Shield,AST-0022,RUL-008,Medium,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000006,EVT-00047791,2025-04-22T17:19:18Z,EDY Shield,AST-0071,RUL-007,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000007,EVT-00055756,2025-03-26T09:09:26Z,EDY Sentinel,AST-0178,RUL-037,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000008,EVT-00063721,2025-05-30T14:34:23Z,EDY Shield,AST-0123,RUL-012,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000009,EVT-00071686,2025-06-28T10:42:40Z,External Synthetic,AST-0062,RUL-024,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000010,EVT-00079651,2025-05-10T22:48:16Z,External Synthetic,AST-0127,RUL-038,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000011,EVT-00087616,2026-03-13T14:30:55Z,EDY Sentinel,AST-0142,RUL-011,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000012,EVT-00095581,2025-02-19T15:18:06Z,EDY Shield,AST-0123,RUL-045,High,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000013,EVT-00103546,2025-11-01T07:34:06Z,EDY Sentinel,AST-0030,RUL-012,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000014,EVT-00111511,2025-07-04T18:34:00Z,EDY RECON,AST-0231,RUL-004,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000015,EVT-00119476,2025-08-18T14:32:27Z,External Synthetic,AST-0104,RUL-037,High,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000016,EVT-00007441,2025-12-26T05:05:18Z,External Synthetic,AST-0078,RUL-029,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000017,EVT-00015406,2026-02-03T15:12:44Z,EDY SIEM,AST-0148,RUL-007,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000018,EVT-00023371,2025-09-29T11:42:38Z,EDY Shield,AST-0040,RUL-015,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000019,EVT-00031336,2026-07-15T18:46:21Z,External Synthetic,AST-0031,RUL-001,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000020,EVT-00039301,2026-01-30T10:40:16Z,EDY Shield,AST-0041,RUL-017,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000021,EVT-00047266,2025-05-17T07:47:08Z,EDY SIEM,AST-0169,RUL-024,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000022,EVT-00055231,2025-10-10T15:14:49Z,EDY SIEM,AST-0175,RUL-042,Low,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000023,EVT-00063196,2026-04-11T12:55:48Z,EDY SIEM,AST-0019,RUL-011,Low,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000024,EVT-00071161,2026-05-04T14:27:13Z,EDY Sentinel,AST-0099,RUL-022,Medium,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000025,EVT-00079126,2025-02-04T14:41:03Z,EDY SIEM,AST-0145,RUL-042,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000026,EVT-00087091,2025-05-23T09:23:49Z,EDY Sentinel,AST-0175,RUL-031,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000027,EVT-00095056,2025-04-17T16:33:20Z,EDY RECON,AST-0123,RUL-005,Critical,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000028,EVT-00103021,2026-07-02T08:48:15Z,External Synthetic,AST-0211,RUL-012,Informational,TRUE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000029,EVT-00110986,2025-02-09T11:46:33Z,EDY SIEM,AST-0094,RUL-010,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
ALT-00000030,EVT-00118951,2025-06-27T15:58:46Z,EDY RECON,AST-0071,RUL-014,Informational,FALSE,Alerta sintético sem conteúdo operacional.,SYNTHETIC_DEMO_DATA
