incident_id,alert_id,created_at,acknowledged_at,triaged_at,contained_at,resolved_at,closed_at,source_product,source_system,asset_id,rule_id,severity,status,analyst_id,classification_key,risk_score,is_escalated,is_reopened,data_classification
INC-00001616,ALT-00006880,2025-10-01T12:53:25Z,2025-10-01T13:50:25Z,2025-10-01T14:00:25Z,2025-10-01T14:44:25Z,2025-10-01T17:26:25Z,2025-10-01T22:19:25Z,EDY SIEM,Correlation Hub,AST-0092,RUL-024,Medium,Closed,ANL-014,2,68.4,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000890,ALT-00012009,2025-03-25T12:56:24Z,2025-03-25T13:17:24Z,2025-03-25T14:17:24Z,2025-03-25T15:19:24Z,2025-03-25T16:28:24Z,2025-03-26T03:21:24Z,External Synthetic,Network Sensor,AST-0222,RUL-017,Low,fechado,ANL-001,1,59.9,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002063,ALT-00002186,2025-09-02T15:30:28Z,2025-09-02T16:46:28Z,2025-09-02T17:15:28Z,2025-09-02T17:46:28Z,2025-09-02T19:39:28Z,2025-09-03T04:27:28Z,External Synthetic,Network Sensor,AST-0136,RUL-015,Informational,Closed,ANL-015,1,40.2,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002120,ALT-00016959,2026-02-19T12:54:58Z,2026-02-19T13:06:58Z,2026-02-19T13:26:58Z,2026-02-19T14:27:58Z,2026-02-19T18:18:58Z,2026-02-19T23:49:58Z,External Synthetic,Cloud Audit,AST-0186,RUL-026,Low,Closed,ANL-013,1,63.8,FALSE,TRUE,SYNTHETIC_DEMO_DATA
INC-00000265,ALT-00008199,2025-08-01T07:37:08Z,2025-08-01T07:47:08Z,2025-08-01T07:59:08Z,2025-08-01T08:53:08Z,2025-08-01T09:52:08Z,2025-08-01T15:24:08Z,External Synthetic,Cloud Audit,AST-0099,RUL-019,Medium,Closed,ANL-003,1,53.9,FALSE,TRUE,SYNTHETIC_DEMO_DATA
INC-00001651,ALT-00005698,2025-02-27T19:28:17Z,2025-02-27T19:43:17Z,2025-02-27T20:01:17Z,2025-02-27T21:32:17Z,2025-02-27T23:13:17Z,2025-02-28T03:36:17Z,EDY Shield,Endpoint Integrity,AST-0060,RUL-011,Low,Closed,ANL-002,1,60.9,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00001063,ALT-00006675,2025-04-06T09:36:58Z,2025-04-06T09:57:58Z,2025-04-06T10:20:58Z,2025-04-06T10:42:58Z,2025-04-06T12:58:58Z,2025-04-06T19:43:58Z,EDY SIEM,Correlation Hub,AST-0022,RUL-045,Medium,Closed,ANL-015,1,65.4,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000724,ALT-00011921,2025-12-05T16:53:30Z,2025-12-05T17:10:30Z,2025-12-05T17:27:30Z,2025-12-05T19:48:30Z,2025-12-05T23:22:30Z,,EDY Shield,Endpoint Integrity,AST-0203,RUL-007,Informational,Resolved,ANL-010,1,45.0,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00002791,ALT-00013070,2026-06-16T11:33:39Z,2026-06-16T12:14:39Z,2026-06-16T12:33:39Z,2026-06-16T14:19:39Z,2026-06-16T16:53:39Z,2026-06-17T02:38:39Z,EDY SIEM,Correlation Hub,AST-0152,RUL-030,Medium,Closed,ANL-015,1,62.9,FALSE,FALSE,SYNTHETIC_DEMO_DATA
INC-00000941,ALT-00013249,2025-10-07T23:57:46Z,2025-10-08T00:17:46Z,2025-10-08T00:30:46Z,2025-10-08T03:15:46Z,2025-10-08T04:44:46Z,2025-10-08T10:41:46Z,External Synthetic,Network Sensor,AST-0020,RUL-014,Medium,Closed,ANL-005,2,69.4,FALSE,FALSE,SYNTHETIC_DEMO_DATA
