AssetKey,AssetId,AssetLabel,AssetType,BusinessUnit,Environment,Criticality,NetworkAddress,IsSynthetic
0,UNKNOWN,Ativo não informado,Desconhecido,Não informado,Não informado,1,,True
1,AST-0001,Ativo sintético 001,Servidor,Corporativo,Desenvolvimento,4,192.0.2.2,True
2,AST-0002,Ativo sintético 002,Endpoint,Pesquisa,Homologação,3,198.51.100.3,True
3,AST-0003,Ativo sintético 003,Identidade,Atendimento,Produção,3,203.0.113.4,True
4,AST-0004,Ativo sintético 004,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.5,True
5,AST-0005,Ativo sintético 005,Nuvem,Financeiro,Homologação,5,198.51.100.6,True
6,AST-0006,Ativo sintético 006,Dispositivo de rede,Operações,Produção,4,203.0.113.7,True
7,AST-0007,Ativo sintético 007,Servidor,Corporativo,Desenvolvimento,3,192.0.2.8,True
8,AST-0008,Ativo sintético 008,Endpoint,Pesquisa,Homologação,2,198.51.100.9,True
9,AST-0009,Ativo sintético 009,Identidade,Atendimento,Produção,1,203.0.113.10,True
10,AST-0010,Ativo sintético 010,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.11,True
11,AST-0011,Ativo sintético 011,Nuvem,Financeiro,Homologação,3,198.51.100.12,True
12,AST-0012,Ativo sintético 012,Dispositivo de rede,Operações,Produção,3,203.0.113.13,True
13,AST-0013,Ativo sintético 013,Servidor,Corporativo,Desenvolvimento,2,192.0.2.14,True
14,AST-0014,Ativo sintético 014,Endpoint,Pesquisa,Homologação,5,198.51.100.15,True
15,AST-0015,Ativo sintético 015,Identidade,Atendimento,Produção,4,203.0.113.16,True
16,AST-0016,Ativo sintético 016,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.17,True
17,AST-0017,Ativo sintético 017,Nuvem,Financeiro,Homologação,2,198.51.100.18,True
18,AST-0018,Ativo sintético 018,Dispositivo de rede,Operações,Produção,1,203.0.113.19,True
19,AST-0019,Ativo sintético 019,Servidor,Corporativo,Desenvolvimento,4,192.0.2.20,True
20,AST-0020,Ativo sintético 020,Endpoint,Pesquisa,Homologação,3,198.51.100.21,True
21,AST-0021,Ativo sintético 021,Identidade,Atendimento,Produção,3,203.0.113.22,True
22,AST-0022,Ativo sintético 022,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.23,True
23,AST-0023,Ativo sintético 023,Nuvem,Financeiro,Homologação,5,198.51.100.24,True
24,AST-0024,Ativo sintético 024,Dispositivo de rede,Operações,Produção,4,203.0.113.25,True
25,AST-0025,Ativo sintético 025,Servidor,Corporativo,Desenvolvimento,3,192.0.2.26,True
26,AST-0026,Ativo sintético 026,Endpoint,Pesquisa,Homologação,2,198.51.100.27,True
27,AST-0027,Ativo sintético 027,Identidade,Atendimento,Produção,1,203.0.113.28,True
28,AST-0028,Ativo sintético 028,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.29,True
29,AST-0029,Ativo sintético 029,Nuvem,Financeiro,Homologação,3,198.51.100.30,True
30,AST-0030,Ativo sintético 030,Dispositivo de rede,Operações,Produção,3,203.0.113.31,True
31,AST-0031,Ativo sintético 031,Servidor,Corporativo,Desenvolvimento,2,192.0.2.32,True
32,AST-0032,Ativo sintético 032,Endpoint,Pesquisa,Homologação,5,198.51.100.33,True
33,AST-0033,Ativo sintético 033,Identidade,Atendimento,Produção,4,203.0.113.34,True
34,AST-0034,Ativo sintético 034,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.35,True
35,AST-0035,Ativo sintético 035,Nuvem,Financeiro,Homologação,2,198.51.100.36,True
36,AST-0036,Ativo sintético 036,Dispositivo de rede,Operações,Produção,1,203.0.113.37,True
37,AST-0037,Ativo sintético 037,Servidor,Corporativo,Desenvolvimento,4,192.0.2.38,True
38,AST-0038,Ativo sintético 038,Endpoint,Pesquisa,Homologação,3,198.51.100.39,True
39,AST-0039,Ativo sintético 039,Identidade,Atendimento,Produção,3,203.0.113.40,True
40,AST-0040,Ativo sintético 040,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.41,True
41,AST-0041,Ativo sintético 041,Nuvem,Financeiro,Homologação,5,198.51.100.42,True
42,AST-0042,Ativo sintético 042,Dispositivo de rede,Operações,Produção,4,203.0.113.43,True
43,AST-0043,Ativo sintético 043,Servidor,Corporativo,Desenvolvimento,3,192.0.2.44,True
44,AST-0044,Ativo sintético 044,Endpoint,Pesquisa,Homologação,2,198.51.100.45,True
45,AST-0045,Ativo sintético 045,Identidade,Atendimento,Produção,1,203.0.113.46,True
46,AST-0046,Ativo sintético 046,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.47,True
47,AST-0047,Ativo sintético 047,Nuvem,Financeiro,Homologação,3,198.51.100.48,True
48,AST-0048,Ativo sintético 048,Dispositivo de rede,Operações,Produção,3,203.0.113.49,True
49,AST-0049,Ativo sintético 049,Servidor,Corporativo,Desenvolvimento,2,192.0.2.50,True
50,AST-0050,Ativo sintético 050,Endpoint,Pesquisa,Homologação,5,198.51.100.51,True
51,AST-0051,Ativo sintético 051,Identidade,Atendimento,Produção,4,203.0.113.52,True
52,AST-0052,Ativo sintético 052,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.53,True
53,AST-0053,Ativo sintético 053,Nuvem,Financeiro,Homologação,2,198.51.100.54,True
54,AST-0054,Ativo sintético 054,Dispositivo de rede,Operações,Produção,1,203.0.113.55,True
55,AST-0055,Ativo sintético 055,Servidor,Corporativo,Desenvolvimento,4,192.0.2.56,True
56,AST-0056,Ativo sintético 056,Endpoint,Pesquisa,Homologação,3,198.51.100.57,True
57,AST-0057,Ativo sintético 057,Identidade,Atendimento,Produção,3,203.0.113.58,True
58,AST-0058,Ativo sintético 058,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.59,True
59,AST-0059,Ativo sintético 059,Nuvem,Financeiro,Homologação,5,198.51.100.60,True
60,AST-0060,Ativo sintético 060,Dispositivo de rede,Operações,Produção,4,203.0.113.61,True
61,AST-0061,Ativo sintético 061,Servidor,Corporativo,Desenvolvimento,3,192.0.2.62,True
62,AST-0062,Ativo sintético 062,Endpoint,Pesquisa,Homologação,2,198.51.100.63,True
63,AST-0063,Ativo sintético 063,Identidade,Atendimento,Produção,1,203.0.113.64,True
64,AST-0064,Ativo sintético 064,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.65,True
65,AST-0065,Ativo sintético 065,Nuvem,Financeiro,Homologação,3,198.51.100.66,True
66,AST-0066,Ativo sintético 066,Dispositivo de rede,Operações,Produção,3,203.0.113.67,True
67,AST-0067,Ativo sintético 067,Servidor,Corporativo,Desenvolvimento,2,192.0.2.68,True
68,AST-0068,Ativo sintético 068,Endpoint,Pesquisa,Homologação,5,198.51.100.69,True
69,AST-0069,Ativo sintético 069,Identidade,Atendimento,Produção,4,203.0.113.70,True
70,AST-0070,Ativo sintético 070,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.71,True
71,AST-0071,Ativo sintético 071,Nuvem,Financeiro,Homologação,2,198.51.100.72,True
72,AST-0072,Ativo sintético 072,Dispositivo de rede,Operações,Produção,1,203.0.113.73,True
73,AST-0073,Ativo sintético 073,Servidor,Corporativo,Desenvolvimento,4,192.0.2.74,True
74,AST-0074,Ativo sintético 074,Endpoint,Pesquisa,Homologação,3,198.51.100.75,True
75,AST-0075,Ativo sintético 075,Identidade,Atendimento,Produção,3,203.0.113.76,True
76,AST-0076,Ativo sintético 076,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.77,True
77,AST-0077,Ativo sintético 077,Nuvem,Financeiro,Homologação,5,198.51.100.78,True
78,AST-0078,Ativo sintético 078,Dispositivo de rede,Operações,Produção,4,203.0.113.79,True
79,AST-0079,Ativo sintético 079,Servidor,Corporativo,Desenvolvimento,3,192.0.2.80,True
80,AST-0080,Ativo sintético 080,Endpoint,Pesquisa,Homologação,2,198.51.100.81,True
81,AST-0081,Ativo sintético 081,Identidade,Atendimento,Produção,1,203.0.113.82,True
82,AST-0082,Ativo sintético 082,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.83,True
83,AST-0083,Ativo sintético 083,Nuvem,Financeiro,Homologação,3,198.51.100.84,True
84,AST-0084,Ativo sintético 084,Dispositivo de rede,Operações,Produção,3,203.0.113.85,True
85,AST-0085,Ativo sintético 085,Servidor,Corporativo,Desenvolvimento,2,192.0.2.86,True
86,AST-0086,Ativo sintético 086,Endpoint,Pesquisa,Homologação,5,198.51.100.87,True
87,AST-0087,Ativo sintético 087,Identidade,Atendimento,Produção,4,203.0.113.88,True
88,AST-0088,Ativo sintético 088,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.89,True
89,AST-0089,Ativo sintético 089,Nuvem,Financeiro,Homologação,2,198.51.100.90,True
90,AST-0090,Ativo sintético 090,Dispositivo de rede,Operações,Produção,1,203.0.113.91,True
91,AST-0091,Ativo sintético 091,Servidor,Corporativo,Desenvolvimento,4,192.0.2.92,True
92,AST-0092,Ativo sintético 092,Endpoint,Pesquisa,Homologação,3,198.51.100.93,True
93,AST-0093,Ativo sintético 093,Identidade,Atendimento,Produção,3,203.0.113.94,True
94,AST-0094,Ativo sintético 094,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.95,True
95,AST-0095,Ativo sintético 095,Nuvem,Financeiro,Homologação,5,198.51.100.96,True
96,AST-0096,Ativo sintético 096,Dispositivo de rede,Operações,Produção,4,203.0.113.97,True
97,AST-0097,Ativo sintético 097,Servidor,Corporativo,Desenvolvimento,3,192.0.2.98,True
98,AST-0098,Ativo sintético 098,Endpoint,Pesquisa,Homologação,2,198.51.100.99,True
99,AST-0099,Ativo sintético 099,Identidade,Atendimento,Produção,1,203.0.113.100,True
100,AST-0100,Ativo sintético 100,Aplicação,Tecnologia,Desenvolvimento,4,192.0.2.101,True
101,AST-0101,Ativo sintético 101,Nuvem,Financeiro,Homologação,3,198.51.100.102,True
102,AST-0102,Ativo sintético 102,Dispositivo de rede,Operações,Produção,3,203.0.113.103,True
103,AST-0103,Ativo sintético 103,Servidor,Corporativo,Desenvolvimento,2,192.0.2.104,True
104,AST-0104,Ativo sintético 104,Endpoint,Pesquisa,Homologação,5,198.51.100.105,True
105,AST-0105,Ativo sintético 105,Identidade,Atendimento,Produção,4,203.0.113.106,True
106,AST-0106,Ativo sintético 106,Aplicação,Tecnologia,Desenvolvimento,3,192.0.2.107,True
107,AST-0107,Ativo sintético 107,Nuvem,Financeiro,Homologação,2,198.51.100.108,True
108,AST-0108,Ativo sintético 108,Dispositivo de rede,Operações,Produção,1,203.0.113.109,True
109,AST-0109,Ativo sintético 109,Servidor,Corporativo,Desenvolvimento,4,192.0.2.110,True
110,AST-0110,Ativo sintético 110,Endpoint,Pesquisa,Homologação,3,198.51.100.111,True
111,AST-0111,Ativo sintético 111,Identidade,Atendimento,Produção,3,203.0.113.112,True
112,AST-0112,Ativo sintético 112,Aplicação,Tecnologia,Desenvolvimento,2,192.0.2.113,True
113,AST-0113,Ativo sintético 113,Nuvem,Financeiro,Homologação,5,198.51.100.114,True
114,AST-0114,Ativo sintético 114,Dispositivo de rede,Operações,Produção,4,203.0.113.115,True
