AttackTechniqueKey,TechniqueId,TechniqueName,AttackTacticKey,Framework,Domain,AttackVersion,RetrievedAt,IsDeprecated
1,T1595,Active Scanning,1,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
2,T1190,Exploit Public-Facing Application,2,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
3,T1566.002,Spearphishing Link,2,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
4,T1078,Valid Accounts,2,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
5,T1059.001,PowerShell,3,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
6,T1204.002,Malicious File,3,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
7,T1053.005,Scheduled Task,4,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
8,T1547.001,Registry Run Keys,4,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
9,T1068,Exploitation for Privilege Escalation,5,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
10,T1548.002,Bypass User Account Control,5,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
11,T1027,Obfuscated Files or Information,6,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
12,T1562.001,Impair Defenses,6,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
13,T1003.001,LSASS Memory,7,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
14,T1110.003,Password Spraying,7,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
15,T1087.002,Domain Account Discovery,8,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
16,T1046,Network Service Discovery,8,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
17,T1021.001,Remote Desktop Protocol,9,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
18,T1570,Lateral Tool Transfer,9,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
19,T1114,Email Collection,10,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
20,T1005,Data from Local System,10,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
21,T1071.001,Web Protocols,11,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
22,T1105,Ingress Tool Transfer,11,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
23,T1041,Exfiltration Over C2 Channel,12,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
24,T1567.002,Exfiltration to Cloud Storage,12,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
25,T1486,Data Encrypted for Impact,13,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
26,T1490,Inhibit System Recovery,13,MITRE ATT&CK,Enterprise,19.1,2026-08-24,False
