DetectionRuleKey,RuleId,RuleName,RuleFamily,DefaultSeverityKey,AttackTechniqueKey,ExpectedFidelity,NoiseFactor,IsEnabled
1,RUL-001,Regra analítica sintética 01,Identidade,4,8,0.51,0.78,True
2,RUL-002,Regra analítica sintética 02,Endpoint,2,15,0.68,0.91,True
3,RUL-003,Regra analítica sintética 03,Rede,5,22,0.85,1.04,True
4,RUL-004,Regra analítica sintética 04,Nuvem,3,3,0.24,1.8,True
5,RUL-005,Regra analítica sintética 05,Correlação,1,10,0.59,1.3,True
6,RUL-006,Regra analítica sintética 06,Identidade,4,17,0.76,1.43,True
7,RUL-007,Regra analítica sintética 07,Endpoint,2,24,0.93,0.76,True
8,RUL-008,Regra analítica sintética 08,Rede,5,5,0.5,0.89,True
9,RUL-009,Regra analítica sintética 09,Nuvem,3,12,0.67,1.02,True
10,RUL-010,Regra analítica sintética 10,Correlação,1,19,0.84,1.15,True
11,RUL-011,Regra analítica sintética 11,Identidade,4,26,0.24,1.8,True
12,RUL-012,Regra analítica sintética 12,Endpoint,2,7,0.58,1.41,True
13,RUL-013,Regra analítica sintética 13,Rede,5,14,0.75,0.74,True
14,RUL-014,Regra analítica sintética 14,Nuvem,3,21,0.92,0.87,True
15,RUL-015,Regra analítica sintética 15,Correlação,1,2,0.49,1.0,False
16,RUL-016,Regra analítica sintética 16,Identidade,4,9,0.66,1.13,True
17,RUL-017,Regra analítica sintética 17,Endpoint,2,16,0.83,1.26,True
18,RUL-018,Regra analítica sintética 18,Rede,5,23,0.4,1.39,True
19,RUL-019,Regra analítica sintética 19,Nuvem,3,4,0.57,0.72,True
20,RUL-020,Regra analítica sintética 20,Correlação,1,11,0.74,0.85,True
21,RUL-021,Regra analítica sintética 21,Identidade,4,18,0.91,0.98,True
22,RUL-022,Regra analítica sintética 22,Endpoint,2,25,0.48,1.11,True
23,RUL-023,Regra analítica sintética 23,Rede,5,6,0.24,1.8,True
24,RUL-024,Regra analítica sintética 24,Nuvem,3,13,0.82,1.37,True
25,RUL-025,Regra analítica sintética 25,Correlação,1,20,0.39,0.7,True
26,RUL-026,Regra analítica sintética 26,Identidade,4,1,0.56,0.83,True
27,RUL-027,Regra analítica sintética 27,Endpoint,2,8,0.73,0.96,True
28,RUL-028,Regra analítica sintética 28,Rede,5,15,0.9,1.09,True
29,RUL-029,Regra analítica sintética 29,Nuvem,3,22,0.47,1.22,True
30,RUL-030,Regra analítica sintética 30,Correlação,1,3,0.64,1.35,False
31,RUL-031,Regra analítica sintética 31,Identidade,4,10,0.81,0.68,True
32,RUL-032,Regra analítica sintética 32,Endpoint,2,17,0.38,0.81,True
33,RUL-033,Regra analítica sintética 33,Rede,5,24,0.55,0.94,True
34,RUL-034,Regra analítica sintética 34,Nuvem,3,5,0.72,1.07,True
35,RUL-035,Regra analítica sintética 35,Correlação,1,12,0.89,1.2,True
36,RUL-036,Regra analítica sintética 36,Identidade,4,19,0.46,1.33,True
37,RUL-037,Regra analítica sintética 37,Endpoint,2,26,0.24,1.8,True
38,RUL-038,Regra analítica sintética 38,Rede,5,7,0.8,0.79,True
39,RUL-039,Regra analítica sintética 39,Nuvem,3,14,0.37,0.92,True
40,RUL-040,Regra analítica sintética 40,Correlação,1,21,0.54,1.05,True
41,RUL-041,Regra analítica sintética 41,Identidade,4,2,0.71,1.18,True
42,RUL-042,Regra analítica sintética 42,Endpoint,2,9,0.88,1.31,True
43,RUL-043,Regra analítica sintética 43,Rede,5,16,0.45,1.44,True
44,RUL-044,Regra analítica sintética 44,Nuvem,3,23,0.62,0.77,True
45,RUL-045,Regra analítica sintética 45,Correlação,1,4,0.79,0.9,True
