TimeKey,Hour,Minute,HourLabel,Period
0,0,0,00:00,Madrugada
5,0,5,00:00,Madrugada
10,0,10,00:00,Madrugada
15,0,15,00:00,Madrugada
20,0,20,00:00,Madrugada
25,0,25,00:00,Madrugada
30,0,30,00:00,Madrugada
35,0,35,00:00,Madrugada
40,0,40,00:00,Madrugada
45,0,45,00:00,Madrugada
50,0,50,00:00,Madrugada
55,0,55,00:00,Madrugada
100,1,0,01:00,Madrugada
105,1,5,01:00,Madrugada
110,1,10,01:00,Madrugada
115,1,15,01:00,Madrugada
120,1,20,01:00,Madrugada
125,1,25,01:00,Madrugada
130,1,30,01:00,Madrugada
135,1,35,01:00,Madrugada
140,1,40,01:00,Madrugada
145,1,45,01:00,Madrugada
150,1,50,01:00,Madrugada
155,1,55,01:00,Madrugada
200,2,0,02:00,Madrugada
205,2,5,02:00,Madrugada
210,2,10,02:00,Madrugada
215,2,15,02:00,Madrugada
220,2,20,02:00,Madrugada
225,2,25,02:00,Madrugada
230,2,30,02:00,Madrugada
235,2,35,02:00,Madrugada
240,2,40,02:00,Madrugada
245,2,45,02:00,Madrugada
250,2,50,02:00,Madrugada
255,2,55,02:00,Madrugada
300,3,0,03:00,Madrugada
305,3,5,03:00,Madrugada
310,3,10,03:00,Madrugada
315,3,15,03:00,Madrugada
320,3,20,03:00,Madrugada
325,3,25,03:00,Madrugada
330,3,30,03:00,Madrugada
335,3,35,03:00,Madrugada
340,3,40,03:00,Madrugada
345,3,45,03:00,Madrugada
350,3,50,03:00,Madrugada
355,3,55,03:00,Madrugada
400,4,0,04:00,Madrugada
405,4,5,04:00,Madrugada
410,4,10,04:00,Madrugada
415,4,15,04:00,Madrugada
420,4,20,04:00,Madrugada
425,4,25,04:00,Madrugada
430,4,30,04:00,Madrugada
435,4,35,04:00,Madrugada
440,4,40,04:00,Madrugada
445,4,45,04:00,Madrugada
450,4,50,04:00,Madrugada
455,4,55,04:00,Madrugada
500,5,0,05:00,Madrugada
505,5,5,05:00,Madrugada
510,5,10,05:00,Madrugada
515,5,15,05:00,Madrugada
520,5,20,05:00,Madrugada
525,5,25,05:00,Madrugada
530,5,30,05:00,Madrugada
535,5,35,05:00,Madrugada
540,5,40,05:00,Madrugada
545,5,45,05:00,Madrugada
550,5,50,05:00,Madrugada
555,5,55,05:00,Madrugada
600,6,0,06:00,Manhã
605,6,5,06:00,Manhã
610,6,10,06:00,Manhã
615,6,15,06:00,Manhã
620,6,20,06:00,Manhã
625,6,25,06:00,Manhã
630,6,30,06:00,Manhã
635,6,35,06:00,Manhã
640,6,40,06:00,Manhã
645,6,45,06:00,Manhã
650,6,50,06:00,Manhã
655,6,55,06:00,Manhã
700,7,0,07:00,Manhã
705,7,5,07:00,Manhã
710,7,10,07:00,Manhã
715,7,15,07:00,Manhã
720,7,20,07:00,Manhã
725,7,25,07:00,Manhã
730,7,30,07:00,Manhã
735,7,35,07:00,Manhã
740,7,40,07:00,Manhã
745,7,45,07:00,Manhã
750,7,50,07:00,Manhã
755,7,55,07:00,Manhã
800,8,0,08:00,Manhã
805,8,5,08:00,Manhã
810,8,10,08:00,Manhã
815,8,15,08:00,Manhã
820,8,20,08:00,Manhã
825,8,25,08:00,Manhã
830,8,30,08:00,Manhã
835,8,35,08:00,Manhã
840,8,40,08:00,Manhã
845,8,45,08:00,Manhã
850,8,50,08:00,Manhã
855,8,55,08:00,Manhã
900,9,0,09:00,Manhã
905,9,5,09:00,Manhã
910,9,10,09:00,Manhã
915,9,15,09:00,Manhã
920,9,20,09:00,Manhã
925,9,25,09:00,Manhã
930,9,30,09:00,Manhã
935,9,35,09:00,Manhã
940,9,40,09:00,Manhã
945,9,45,09:00,Manhã
950,9,50,09:00,Manhã
955,9,55,09:00,Manhã
1000,10,0,10:00,Manhã
1005,10,5,10:00,Manhã
1010,10,10,10:00,Manhã
1015,10,15,10:00,Manhã
1020,10,20,10:00,Manhã
1025,10,25,10:00,Manhã
1030,10,30,10:00,Manhã
1035,10,35,10:00,Manhã
1040,10,40,10:00,Manhã
1045,10,45,10:00,Manhã
1050,10,50,10:00,Manhã
1055,10,55,10:00,Manhã
1100,11,0,11:00,Manhã
1105,11,5,11:00,Manhã
1110,11,10,11:00,Manhã
1115,11,15,11:00,Manhã
1120,11,20,11:00,Manhã
1125,11,25,11:00,Manhã
1130,11,30,11:00,Manhã
1135,11,35,11:00,Manhã
1140,11,40,11:00,Manhã
1145,11,45,11:00,Manhã
1150,11,50,11:00,Manhã
1155,11,55,11:00,Manhã
1200,12,0,12:00,Tarde
1205,12,5,12:00,Tarde
1210,12,10,12:00,Tarde
1215,12,15,12:00,Tarde
1220,12,20,12:00,Tarde
1225,12,25,12:00,Tarde
1230,12,30,12:00,Tarde
1235,12,35,12:00,Tarde
1240,12,40,12:00,Tarde
1245,12,45,12:00,Tarde
1250,12,50,12:00,Tarde
1255,12,55,12:00,Tarde
1300,13,0,13:00,Tarde
1305,13,5,13:00,Tarde
1310,13,10,13:00,Tarde
1315,13,15,13:00,Tarde
1320,13,20,13:00,Tarde
1325,13,25,13:00,Tarde
1330,13,30,13:00,Tarde
1335,13,35,13:00,Tarde
1340,13,40,13:00,Tarde
1345,13,45,13:00,Tarde
1350,13,50,13:00,Tarde
1355,13,55,13:00,Tarde
1400,14,0,14:00,Tarde
1405,14,5,14:00,Tarde
1410,14,10,14:00,Tarde
1415,14,15,14:00,Tarde
1420,14,20,14:00,Tarde
1425,14,25,14:00,Tarde
1430,14,30,14:00,Tarde
1435,14,35,14:00,Tarde
1440,14,40,14:00,Tarde
1445,14,45,14:00,Tarde
1450,14,50,14:00,Tarde
1455,14,55,14:00,Tarde
1500,15,0,15:00,Tarde
1505,15,5,15:00,Tarde
1510,15,10,15:00,Tarde
1515,15,15,15:00,Tarde
1520,15,20,15:00,Tarde
1525,15,25,15:00,Tarde
1530,15,30,15:00,Tarde
1535,15,35,15:00,Tarde
1540,15,40,15:00,Tarde
1545,15,45,15:00,Tarde
1550,15,50,15:00,Tarde
1555,15,55,15:00,Tarde
1600,16,0,16:00,Tarde
1605,16,5,16:00,Tarde
1610,16,10,16:00,Tarde
1615,16,15,16:00,Tarde
1620,16,20,16:00,Tarde
1625,16,25,16:00,Tarde
1630,16,30,16:00,Tarde
1635,16,35,16:00,Tarde
1640,16,40,16:00,Tarde
1645,16,45,16:00,Tarde
1650,16,50,16:00,Tarde
1655,16,55,16:00,Tarde
1700,17,0,17:00,Tarde
1705,17,5,17:00,Tarde
